work_id,work_name,category,mp_name,house,constituency,nodal_district,state,sanctioned_amount,actual_expenditure,contractor_name,latitude,longitude,sanction_date,completion_date,status,is_augmented_case
MPLADS-2023-WRK-1011,"Sanitation project at Ward 42, Mumbai Suburban",Sanitation & Public Toilets,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,997000.0,927000.0,National Civil Construction Co.,19.0905,72.8807,2023-10-11,2023-11-26,Completed,False
MPLADS-2023-WRK-1012,"Roads project at Ward 41, Mumbai City",Roads & Drainage,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,1087000.0,950000.0,Bharat Rural Development Enterprises,18.9598,72.8359,2023-01-02,2023-05-05,Completed,False
MPLADS-2023-WRK-1013,"Healthcare Equipment project at Ward 39, Bengaluru Urban",Healthcare Equipment & Ambulances,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,2171000.0,1910000.0,Bharat Rural Development Enterprises,13.0079,77.6284,2023-07-11,2023-08-15,Completed,False
MPLADS-2023-WRK-1014,"Public Facilities project at Ward 6, Mumbai City",Public Facilities & Community Halls,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,1068000.0,1057000.0,Apex Infra Infrastructure Projects,18.9181,72.8407,2023-06-07,2023-12-04,Completed,False
MPLADS-2023-WRK-1015,"Roads project at Ward 14, New Delhi",Roads & Drainage,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,2456000.0,2284000.0,Imperial Buildcon Pvt Ltd,28.6496,77.1822,2023-03-06,2023-06-20,In Progress,False
MPLADS-2023-WRK-1016,"Healthcare Equipment project at Ward 22, Varanasi",Healthcare Equipment & Ambulances,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,1642000.0,1641000.0,Bharat Rural Development Enterprises,25.3137,82.9537,2023-07-11,2023-09-20,Completed,False
MPLADS-2023-WRK-1017,"Sanitation project at Ward 5, North East Delhi",Sanitation & Public Toilets,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,643000.0,603000.0,Apex Infra Infrastructure Projects,28.6824,77.3049,2023-01-04,2023-02-27,Completed,False
MPLADS-2023-WRK-1018,"Education project at Ward 13, Varanasi",Education & Smart Classrooms,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,1103000.0,973000.0,Apex Infra Construction Corp,25.3154,82.9967,2023-03-09,2023-07-20,In Progress,False
MPLADS-2023-WRK-1019,"Roads project at Ward 4, North West Delhi",Roads & Drainage,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,1818000.0,1642000.0,Apex Infra Infrastructure Projects,28.6701,77.2687,2023-07-30,2023-12-26,Completed,False
MPLADS-2023-WRK-1020,"Healthcare Equipment project at Ward 18, Mumbai Suburban",Healthcare Equipment & Ambulances,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,1716000.0,1680000.0,Sunrise Tech & Water Works,19.0789,72.8489,2023-05-08,2023-06-16,Completed,False
MPLADS-2023-WRK-1021,"Drinking Water project at Ward 6, New Delhi",Drinking Water & RO Plants,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,718000.0,618000.0,Apex Infra Infrastructure Projects,28.6261,77.2122,2023-10-09,2023-11-20,Completed,False
MPLADS-2023-WRK-1022,"Drinking Water project at Ward 30, Varanasi",Drinking Water & RO Plants,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,414000.0,382000.0,Urban Green Projects Ltd,25.3079,83.0127,2023-07-25,2023-08-31,Completed,False
MPLADS-2023-WRK-1023,"Public Facilities project at Ward 38, Bengaluru Urban",Public Facilities & Community Halls,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,3438000.0,3299000.0,Imperial Buildcon Pvt Ltd,12.944,77.5783,2023-10-12,2024-06-02,Completed,False
MPLADS-2023-WRK-1024,"Healthcare Equipment project at Ward 12, North East Delhi",Healthcare Equipment & Ambulances,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,1647000.0,1412000.0,Bharat Rural Development Enterprises,28.6767,77.3094,2023-09-02,2023-11-20,Completed,False
MPLADS-2023-WRK-1025,"Sanitation project at Ward 27, North West Delhi",Sanitation & Public Toilets,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,254000.0,249000.0,Apex Infra Construction Corp,28.6359,77.2376,2023-07-26,2023-09-24,Completed,False
MPLADS-2023-WRK-1026,"Education project at Ward 21, Mumbai City",Education & Smart Classrooms,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,545000.0,522000.0,Jan Seva Builders,18.9093,72.8469,2023-05-03,2023-08-04,In Progress,False
MPLADS-2023-WRK-1027,"Roads project at Ward 5, North West Delhi",Roads & Drainage,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,1417000.0,1417000.0,Bharat Rural Development Enterprises,28.6333,77.2112,2023-02-21,2023-05-31,Completed,False
MPLADS-2023-WRK-1028,"Education project at Ward 43, Varanasi",Education & Smart Classrooms,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,642000.0,588000.0,Vanguard Engineering Corp,25.3265,83.0129,2023-10-06,2024-03-04,Completed,False
MPLADS-2023-WRK-1029,"Healthcare Equipment project at Ward 39, Bengaluru Urban",Healthcare Equipment & Ambulances,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,1080000.0,1060000.0,National Civil Construction Co.,12.991,77.567,2023-05-16,2023-06-14,Completed,False
MPLADS-2023-WRK-1030,"Healthcare Equipment project at Ward 6, Varanasi",Healthcare Equipment & Ambulances,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,1726000.0,1645000.0,Imperial Buildcon Pvt Ltd,25.2977,83.0066,2023-05-16,2023-08-03,Completed,False
MPLADS-2023-WRK-1031,"Education project at Ward 36, Mumbai Suburban",Education & Smart Classrooms,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,353000.0,318000.0,Vanguard Engineering Corp,19.0489,72.873,2023-03-08,2023-07-27,In Progress,False
MPLADS-2023-WRK-1032,"Roads project at Ward 28, North East Delhi",Roads & Drainage,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,650000.0,639000.0,Apex Infra Infrastructure Projects,28.7309,77.2791,2023-03-18,2023-08-24,Completed,False
MPLADS-2023-WRK-1033,"Roads project at Ward 36, East Delhi",Roads & Drainage,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,1117000.0,1100000.0,Sunrise Tech & Water Works,28.6426,77.3084,2023-01-21,2023-06-05,Completed,False
MPLADS-2023-WRK-1034,"Sanitation project at Ward 27, Mumbai Suburban",Sanitation & Public Toilets,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,800000.0,791000.0,Urban Green Projects Ltd,19.1065,72.8397,2023-05-02,2023-07-06,Completed,False
MPLADS-2023-WRK-1035,"Education project at Ward 23, Varanasi",Education & Smart Classrooms,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,491000.0,469000.0,Imperial Buildcon Pvt Ltd,25.2954,82.9992,2023-07-15,2023-09-17,In Progress,False
MPLADS-2023-WRK-1036,"Drinking Water project at Ward 23, Bengaluru Urban",Drinking Water & RO Plants,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,295000.0,280000.0,Vanguard Engineering Corp,13.0007,77.632,2023-07-24,2023-10-04,Completed,False
MPLADS-2023-WRK-1037,"Healthcare Equipment project at Ward 3, Mumbai Suburban",Healthcare Equipment & Ambulances,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,3449000.0,3209000.0,Vanguard Engineering Corp,19.0503,72.9147,2023-01-15,2023-02-13,Completed,False
MPLADS-2023-WRK-1038,"Sanitation project at Ward 17, North West Delhi",Sanitation & Public Toilets,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,548000.0,526000.0,Apex Infra Construction Corp,28.6949,77.1993,2023-06-10,2023-09-18,Completed,False
MPLADS-2023-WRK-1039,"Healthcare Equipment project at Ward 40, North East Delhi",Healthcare Equipment & Ambulances,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,1977000.0,1835000.0,Sunrise Tech & Water Works,28.6932,77.2381,2023-10-03,2024-01-13,Completed,False
MPLADS-2023-WRK-1040,"Healthcare Equipment project at Ward 36, Mumbai City",Healthcare Equipment & Ambulances,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,3090000.0,2960000.0,Vanguard Engineering Corp,18.9522,72.8214,2023-06-03,2023-08-21,Completed,False
MPLADS-2023-WRK-1041,"Drinking Water project at Ward 20, East Delhi",Drinking Water & RO Plants,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,423000.0,419000.0,Apex Infra Construction Corp,28.6121,77.2988,2023-03-31,2023-07-17,Completed,False
MPLADS-2023-WRK-1042,"Drinking Water project at Ward 11, Bengaluru Urban",Drinking Water & RO Plants,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,429000.0,402000.0,Imperial Buildcon Pvt Ltd,12.967,77.5717,2023-06-14,2023-09-11,In Progress,False
MPLADS-2023-WRK-1043,"Education project at Ward 10, North West Delhi",Education & Smart Classrooms,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,919000.0,868000.0,Sunrise Tech & Water Works,28.67,77.208,2023-06-21,2023-08-31,Completed,False
MPLADS-2023-WRK-1044,"Roads project at Ward 32, North East Delhi",Roads & Drainage,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,990000.0,912000.0,Jan Seva Builders,28.735,77.2786,2023-02-07,2023-07-05,In Progress,False
MPLADS-2023-WRK-1045,"Drinking Water project at Ward 4, Mumbai Suburban",Drinking Water & RO Plants,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,246000.0,234000.0,Sunrise Tech & Water Works,19.0501,72.9143,2023-02-24,2023-05-19,In Progress,False
MPLADS-2023-WRK-1046,"Roads project at Ward 40, Varanasi",Roads & Drainage,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,1413000.0,1371000.0,Apex Infra Construction Corp,25.303,82.9943,2023-09-29,2024-03-08,In Progress,False
MPLADS-2023-WRK-1047,"Sanitation project at Ward 34, Mumbai Suburban",Sanitation & Public Toilets,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,557000.0,487000.0,Vanguard Engineering Corp,19.0961,72.9049,2023-09-01,2023-12-12,Completed,False
MPLADS-2023-WRK-1048,"Healthcare Equipment project at Ward 9, New Delhi",Healthcare Equipment & Ambulances,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,1446000.0,1325000.0,Vanguard Engineering Corp,28.6008,77.2404,2023-05-27,2023-07-11,Completed,False
MPLADS-2023-WRK-1049,"Drinking Water project at Ward 4, East Delhi",Drinking Water & RO Plants,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,399000.0,348000.0,Jan Seva Builders,28.6206,77.2984,2023-04-20,2023-05-28,In Progress,False
MPLADS-2023-WRK-1050,"Public Facilities project at Ward 25, Varanasi",Public Facilities & Community Halls,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,2363000.0,2281000.0,Jan Seva Builders,25.3158,83.0093,2023-01-11,2023-08-22,Completed,False
MPLADS-2023-WRK-1051,"Sanitation project at Ward 22, Mumbai Suburban",Sanitation & Public Toilets,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,798000.0,744000.0,Sunrise Tech & Water Works,19.0578,72.8766,2023-04-23,2023-08-08,In Progress,False
MPLADS-2023-WRK-1052,"Healthcare Equipment project at Ward 6, Mumbai Suburban",Healthcare Equipment & Ambulances,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,1246000.0,1146000.0,Bharat Rural Development Enterprises,19.0382,72.8692,2023-03-07,2023-06-09,Completed,False
MPLADS-2023-WRK-1053,"Drinking Water project at Ward 18, Mumbai Suburban",Drinking Water & RO Plants,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,713000.0,625000.0,Metro Civic Developers,19.0529,72.8638,2023-05-14,2023-07-31,In Progress,False
MPLADS-2023-WRK-1054,"Education project at Ward 2, Mumbai Suburban",Education & Smart Classrooms,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,1302000.0,1199000.0,Metro Civic Developers,19.0539,72.8432,2023-10-04,2023-12-09,Completed,False
MPLADS-2023-WRK-1055,"Drinking Water project at Ward 30, Varanasi",Drinking Water & RO Plants,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,695000.0,656000.0,Imperial Buildcon Pvt Ltd,25.3312,82.979,2023-05-03,2023-06-18,Completed,False
MPLADS-2023-WRK-1056,"Education project at Ward 37, Bengaluru Urban",Education & Smart Classrooms,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,501000.0,471000.0,Vanguard Engineering Corp,12.9402,77.5567,2023-02-28,2023-05-19,Completed,False
MPLADS-2023-WRK-1057,"Public Facilities project at Ward 37, Mumbai Suburban",Public Facilities & Community Halls,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,4295000.0,3779000.0,Vanguard Engineering Corp,19.104,72.8857,2023-05-05,2023-10-15,Completed,False
MPLADS-2023-WRK-1058,"Education project at Ward 7, North East Delhi",Education & Smart Classrooms,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,939000.0,891000.0,Metro Civic Developers,28.6651,77.2661,2023-02-05,2023-06-09,In Progress,False
MPLADS-2023-WRK-1059,"Education project at Ward 40, Mumbai Suburban",Education & Smart Classrooms,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,1063000.0,1036000.0,Urban Green Projects Ltd,19.0947,72.9149,2023-03-20,2023-07-13,Completed,False
MPLADS-2023-WRK-1060,"Public Facilities project at Ward 16, New Delhi",Public Facilities & Community Halls,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,2525000.0,2423000.0,Sunrise Tech & Water Works,28.6404,77.1759,2023-05-18,2023-11-25,In Progress,False
MPLADS-2023-WRK-1061,"Sanitation project at Ward 22, New Delhi",Sanitation & Public Toilets,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,688000.0,624000.0,Metro Civic Developers,28.5884,77.186,2023-01-15,2023-05-03,Completed,False
MPLADS-2023-WRK-1062,"Sanitation project at Ward 36, Bengaluru Urban",Sanitation & Public Toilets,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,761000.0,678000.0,Sunrise Tech & Water Works,12.9384,77.6122,2023-01-06,2023-04-27,In Progress,False
MPLADS-2023-WRK-1063,"Healthcare Equipment project at Ward 20, Varanasi",Healthcare Equipment & Ambulances,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,2085000.0,1995000.0,National Civil Construction Co.,25.3011,82.9663,2023-08-18,2023-09-04,Completed,False
MPLADS-2023-WRK-1064,"Public Facilities project at Ward 15, Mumbai City",Public Facilities & Community Halls,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,2937000.0,2648000.0,Metro Civic Developers,18.955,72.817,2023-10-09,2024-04-18,Completed,False
MPLADS-2023-WRK-1065,"Healthcare Equipment project at Ward 38, North West Delhi",Healthcare Equipment & Ambulances,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,1320000.0,1146000.0,Urban Green Projects Ltd,28.6315,77.2491,2023-10-02,2024-01-13,Completed,False
MPLADS-2023-WRK-1066,"Roads project at Ward 3, Bengaluru Urban",Roads & Drainage,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,2165000.0,1936000.0,Vanguard Engineering Corp,12.9327,77.5973,2023-07-04,2023-10-24,Completed,False
MPLADS-2023-WRK-1067,"Sanitation project at Ward 22, North East Delhi",Sanitation & Public Toilets,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,434000.0,430000.0,Apex Infra Infrastructure Projects,28.71,77.2701,2023-09-09,2023-11-06,In Progress,False
MPLADS-2023-WRK-1068,"Roads project at Ward 10, East Delhi",Roads & Drainage,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,1005000.0,984000.0,Jan Seva Builders,28.6273,77.3012,2023-02-28,2023-06-06,Completed,False
MPLADS-2023-WRK-1069,"Sanitation project at Ward 34, East Delhi",Sanitation & Public Toilets,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,959000.0,827000.0,Bharat Rural Development Enterprises,28.6492,77.3035,2023-05-08,2023-07-07,Completed,False
MPLADS-2023-WRK-1070,"Public Facilities project at Ward 14, Mumbai Suburban",Public Facilities & Community Halls,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,4180000.0,3739000.0,Apex Infra Construction Corp,19.0857,72.8865,2023-08-08,2024-02-13,Completed,False
MPLADS-2023-WRK-1071,"Education project at Ward 19, Varanasi",Education & Smart Classrooms,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,1093000.0,955000.0,National Civil Construction Co.,25.2901,82.9666,2023-03-30,2023-08-07,In Progress,False
MPLADS-2023-WRK-1072,"Drinking Water project at Ward 28, North East Delhi",Drinking Water & RO Plants,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,337000.0,301000.0,Sunrise Tech & Water Works,28.738,77.2955,2023-08-21,2023-09-29,Completed,False
MPLADS-2023-WRK-1073,"Sanitation project at Ward 29, North West Delhi",Sanitation & Public Toilets,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,380000.0,331000.0,National Civil Construction Co.,28.621,77.2534,2023-05-17,2023-07-19,Completed,False
MPLADS-2023-WRK-1074,"Public Facilities project at Ward 28, North West Delhi",Public Facilities & Community Halls,Dr. Harsh Vardhan,Lok Sabha,Chandni Chowk,North West Delhi,Delhi,3410000.0,3256000.0,Bharat Rural Development Enterprises,28.6557,77.1964,2023-05-20,2023-12-20,Completed,False
MPLADS-2023-WRK-1075,"Sanitation project at Ward 37, Mumbai City",Sanitation & Public Toilets,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,400000.0,345000.0,Apex Infra Infrastructure Projects,18.9788,72.8491,2023-10-22,2024-02-19,Completed,False
MPLADS-2023-WRK-1076,"Drinking Water project at Ward 31, North East Delhi",Drinking Water & RO Plants,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,456000.0,432000.0,Apex Infra Construction Corp,28.699,77.2976,2023-05-23,2023-07-15,Completed,False
MPLADS-2023-WRK-1077,"Public Facilities project at Ward 36, Mumbai City",Public Facilities & Community Halls,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,2167000.0,2060000.0,Jan Seva Builders,18.9543,72.8184,2023-03-24,2023-10-02,In Progress,False
MPLADS-2023-WRK-1078,"Public Facilities project at Ward 27, North East Delhi",Public Facilities & Community Halls,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,1308000.0,1161000.0,Bharat Rural Development Enterprises,28.7301,77.2326,2023-03-01,2023-09-18,In Progress,False
MPLADS-2023-WRK-1079,"Drinking Water project at Ward 19, North East Delhi",Drinking Water & RO Plants,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,487000.0,459000.0,Imperial Buildcon Pvt Ltd,28.7249,77.2488,2023-09-13,2024-01-01,Completed,False
MPLADS-2023-WRK-1080,"Healthcare Equipment project at Ward 6, New Delhi",Healthcare Equipment & Ambulances,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,2109000.0,1802000.0,Urban Green Projects Ltd,28.5988,77.1701,2023-05-03,2023-08-16,In Progress,False
MPLADS-2023-WRK-1081,"Roads project at Ward 31, Varanasi",Roads & Drainage,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,1423000.0,1235000.0,Vanguard Engineering Corp,25.3183,82.9558,2023-03-20,2023-08-20,In Progress,False
MPLADS-2023-WRK-1082,"Public Facilities project at Ward 22, Varanasi",Public Facilities & Community Halls,Narendra Modi,Lok Sabha,Varanasi,Varanasi,Uttar Pradesh,2929000.0,2658000.0,National Civil Construction Co.,25.2997,82.9971,2023-09-18,2024-03-03,In Progress,False
MPLADS-2023-WRK-1083,"Roads project at Ward 23, Bengaluru Urban",Roads & Drainage,Tejasvi Surya,Lok Sabha,Bangalore South,Bengaluru Urban,Karnataka,1066000.0,954000.0,Imperial Buildcon Pvt Ltd,13.0008,77.5903,2023-10-28,2024-04-09,In Progress,False
MPLADS-2023-WRK-1084,"Sanitation project at Ward 3, Mumbai City",Sanitation & Public Toilets,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,810000.0,734000.0,Sunrise Tech & Water Works,18.9445,72.814,2023-06-14,2023-08-22,In Progress,False
MPLADS-2023-WRK-1085,"Healthcare Equipment project at Ward 7, Mumbai City",Healthcare Equipment & Ambulances,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,2077000.0,2050000.0,Urban Green Projects Ltd,18.9384,72.7983,2023-07-15,2023-09-17,Completed,False
MPLADS-2023-WRK-1086,"Roads project at Ward 22, New Delhi",Roads & Drainage,Dr. Subramanian Swamy,Rajya Sabha,Nominated,New Delhi,Delhi,1552000.0,1426000.0,Urban Green Projects Ltd,28.5799,77.2315,2023-03-15,2023-08-04,Completed,False
MPLADS-2023-WRK-1087,"Healthcare Equipment project at Ward 35, Mumbai Suburban",Healthcare Equipment & Ambulances,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,1017000.0,915000.0,Metro Civic Developers,19.0861,72.9087,2023-10-01,2023-12-03,In Progress,False
MPLADS-2023-WRK-1088,"Sanitation project at Ward 29, North East Delhi",Sanitation & Public Toilets,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,255000.0,241000.0,National Civil Construction Co.,28.6988,77.2404,2023-05-28,2023-08-10,Completed,False
MPLADS-2023-WRK-1089,"Healthcare Equipment project at Ward 34, East Delhi",Healthcare Equipment & Ambulances,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,1609000.0,1375000.0,Vanguard Engineering Corp,28.6167,77.2895,2023-06-16,2023-07-08,Completed,False
MPLADS-2023-WRK-1090,"Sanitation project at Ward 32, Mumbai Suburban",Sanitation & Public Toilets,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,745000.0,653000.0,Apex Infra Construction Corp,19.1057,72.8873,2023-03-31,2023-05-25,Completed,False
MPLADS-2023-WRK-1091,"Drinking Water project at Ward 44, East Delhi",Drinking Water & RO Plants,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,450000.0,400000.0,Apex Infra Infrastructure Projects,28.6599,77.2922,2023-05-11,2023-09-03,Completed,False
MPLADS-2023-WRK-1092,"Roads project at Ward 13, East Delhi",Roads & Drainage,Gautam Gambhir,Lok Sabha,East Delhi,East Delhi,Delhi,1383000.0,1247000.0,Jan Seva Builders,28.6432,77.2915,2023-10-28,2024-03-04,Completed,False
MPLADS-2023-WRK-1093,"Public Facilities project at Ward 18, Mumbai Suburban",Public Facilities & Community Halls,Priyanka Chaturvedi,Rajya Sabha,Maharashtra,Mumbai Suburban,Maharashtra,1373000.0,1246000.0,Vanguard Engineering Corp,19.1154,72.8613,2023-07-03,2024-02-11,In Progress,False
MPLADS-2023-WRK-1094,"Sanitation project at Ward 39, North East Delhi",Sanitation & Public Toilets,Manoj Tiwari,Lok Sabha,North East Delhi,North East Delhi,Delhi,892000.0,862000.0,Imperial Buildcon Pvt Ltd,28.7307,77.3047,2023-01-26,2023-05-28,Completed,False
MPLADS-2023-WRK-1095,"Drinking Water project at Ward 29, Mumbai City",Drinking Water & RO Plants,Arvind Sawant,Lok Sabha,Mumbai South,Mumbai City,Maharashtra,564000.0,532000.0,National Civil Construction Co.,18.9711,72.847,2023-03-12,2023-06-30,Completed,False
